Date Time,Baudrate,Data analog1,Data analog2
2020 06 07 05:56:20,115200,18,40
2020 06 07 05:56:20,115200,18,40
2020 06 07 05:56:21,115200,17,41
2020 06 07 05:56:21,115200,17,40
2020 06 07 05:56:22,115200,18,40
2020 06 07 05:56:22,115200,18,40
2020 06 07 05:56:23,115200,12,40
2020 06 07 05:56:23,115200,4,40
2020 06 07 05:56:24,115200,0,40
2020 06 07 05:56:24,115200,0,37
2020 06 07 05:56:25,115200,0,38
2020 06 07 05:56:25,115200,0,40
2020 06 07 05:56:26,115200,0,45
2020 06 07 05:56:26,115200,0,50
2020 06 07 05:56:27,115200,0,55
2020 06 07 05:56:27,115200,0,60
2020 06 07 05:56:28,115200,0,65
2020 06 07 05:56:28,115200,0,72
2020 06 07 05:56:29,115200,0,74
2020 06 07 05:56:29,115200,8,74
2020 06 07 05:56:30,115200,11,74
2020 06 07 05:56:31,115200,26,74
2020 06 07 05:56:31,115200,28,75
2020 06 07 05:56:32,115200,27,72
2020 06 07 05:56:32,115200,27,64
2020 06 07 05:56:33,115200,25,59
2020 06 07 05:56:33,115200,22,53
2020 06 07 05:56:34,115200,21,49
2020 06 07 05:56:34,115200,20,46
2020 06 07 05:56:35,115200,27,46
2020 06 07 05:56:35,115200,29,49
2020 06 07 05:56:36,115200,26,55
2020 06 07 05:56:36,115200,31,60
2020 06 07 05:56:37,115200,28,61
2020 06 07 05:56:37,115200,22,57
2020 06 07 05:56:38,115200,18,53
2020 06 07 05:56:38,115200,16,51
2020 06 07 05:56:39,115200,20,52
2020 06 07 05:56:39,115200,25,53
2020 06 07 05:56:40,115200,29,57
2020 06 07 05:56:40,115200,34,60
2020 06 07 05:56:41,115200,34,61
2020 06 07 05:56:41,115200,30,58
2020 06 07 05:56:42,115200,26,53
2020 06 07 05:56:42,115200,21,52
2020 06 07 05:56:43,115200,19,50
2020 06 07 05:56:43,115200,18,47
2020 06 07 05:56:44,115200,16,44
2020 06 07 05:56:44,115200,18,42
2020 06 07 05:56:45,115200,26,43
2020 06 07 05:56:45,115200,31,47
2020 06 07 05:56:46,115200,32,48
2020 06 07 05:56:46,115200,32,48
2020 06 07 05:56:47,115200,30,46
2020 06 07 05:56:47,115200,29,45
2020 06 07 05:56:48,115200,29,45
2020 06 07 05:56:48,115200,29,45
2020 06 07 05:56:49,115200,29,45
2020 06 07 05:56:49,115200,29,45
2020 06 07 05:56:50,115200,29,45
2020 06 07 05:56:50,115200,29,45
2020 06 07 05:56:51,115200,29,45
2020 06 07 05:56:51,115200,29,45
