Date Time,Baudrate,Data analog1,Data analog2
2020 06 12 22:22:53,115200,72,23
2020 06 12 22:22:54,115200,72,23
2020 06 12 22:22:54,115200,72,23
2020 06 12 22:22:54,115200,72,23
2020 06 12 22:22:55,115200,72,23
2020 06 12 22:22:55,115200,72,23
2020 06 12 22:22:56,115200,72,23
2020 06 12 22:22:56,115200,72,23
2020 06 12 22:22:57,115200,72,23
2020 06 12 22:22:57,115200,72,23
2020 06 12 22:22:58,115200,72,23
2020 06 12 22:22:58,115200,72,23
2020 06 12 22:22:59,115200,72,23
2020 06 12 22:22:59,115200,72,23
2020 06 12 22:23:00,115200,72,23
2020 06 12 22:23:00,115200,72,23
2020 06 12 22:23:01,115200,72,23
2020 06 12 22:23:02,115200,72,23
2020 06 12 22:23:02,115200,72,23
2020 06 12 22:23:02,115200,72,23
2020 06 12 22:23:03,115200,72,23
2020 06 12 22:23:03,115200,72,23
2020 06 12 22:23:04,115200,72,23
2020 06 12 22:23:04,115200,72,23
2020 06 12 22:23:05,115200,72,24
2020 06 12 22:23:06,115200,72,23
2020 06 12 22:23:06,115200,72,23
2020 06 12 22:23:07,115200,72,23
2020 06 12 22:23:07,115200,72,23
